ID,FechaConsulta,Fuente,Ref,Municipio,Barrio,Precio,Habitaciones,Banos,Area,TipoArrendador,Arrendador,Contacto,URL,Latitud,Longitud,LatitudBaseSector,LongitudBaseSector,PrecisionUbicacion,DistClinicaKm,EstacionMetro,LineaMetro,DistMetroKm,DentroPresupuesto,CumplePerfil,Score,Prioridad,Recomendacion,GoogleMaps,Notas
11,2026-07-09,Grupo Empresarial MI,turn8search322,Medellin,Los Colores,2000000,3,2,60,Inmobiliaria,Grupo Empresarial MI,Ver portal,https://grupoempresarialmi.com/buscar-codigo/30116/,6.269102,-75.593956,6.2696,-75.594,Sector aproximado; punto microdesplazado para evitar superposición visual,3.15,Estadio,B,1.64,Si,Si,76.5,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.269102,-75.593956","[URL EXACTA VERIFICADA] Código 30116; San Germán/Los Colores; 3 hab, 2 baños, 60 m²"
12,2026-07-09,Fincaraiz,turn8search293,Medellin,La Pilarica,1700000,2,2,40,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pilarica-medellin/193830928,6.2745,-75.58514,6.2745,-75.5855,Sector aproximado; punto microdesplazado para evitar superposición visual,2.33,Caribe,A,1.8,Si,Si,76.4,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.2745,-75.58514","[URL EXACTA VERIFICADA] Mirador de Pilarica; 2 hab, 2 baños, 40 m²"
13,2026-07-09,Fincaraiz,turn8search317,Medellin,Los Colores,2000000,3,2,72,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-los-colores-medellin/191509623,6.2696,-75.59364,6.2696,-75.594,Sector aproximado; punto microdesplazado para evitar superposición visual,3.12,Estadio,B,1.69,Si,Si,76.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.2696,-75.59364","[URL EXACTA VERIFICADA] Los Colores; código 191509623; 3 hab, 2 baños, 72 m²"
14,2026-07-09,Fincaraiz,turn9search336,Medellin,La Pilarica,2600000,3,2,85,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pilarica-medellin/193703652,6.274002,-75.585456,6.2745,-75.5855,Sector aproximado; punto microdesplazado para evitar superposición visual,2.34,Caribe,A,1.85,Si,Si,76.0,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.274002,-75.585456","[URL EXACTA VERIFICADA] La Pilarica; 3 hab, 2 baños, 85 m²"
15,2026-07-09,Metrocuadrado,turn8search318,Medellin,Los Colores,2000000,3,2,72,Inmobiliaria,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Ver portal,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-5-banos/2895-M5112722,6.26989,-75.594317,6.2696,-75.594,Sector aproximado; punto microdesplazado para evitar superposición visual,3.2,Floresta,B,1.69,Si,Si,76.0,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.26989,-75.594317",[URL EXACTA VERIFICADA] Código 11422/2895-M5112722; revisar inconsistencia de baños en título
16,2026-07-09,Fincaraiz,turn9search335,Medellin,La Pilarica,1850000,3,2,61,Inmobiliaria,Inversion Raiz,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pilarica-medellin/193829952,6.27479,-75.585817,6.2745,-75.5855,Sector aproximado; punto microdesplazado para evitar superposición visual,2.41,Caribe,A,1.87,Si,Si,75.7,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.27479,-75.585817","[URL EXACTA VERIFICADA] La Pilarica; 3 hab, 2 baños, 61 m²"
17,2026-07-09,Fincaraiz,turn9search348,Medellin,Robledo Pilarica,2700000,2,2,80,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/191509112,6.275619,-75.585901,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.46,Caribe,A,1.87,Si,Si,75.6,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.275619,-75.585901","[URL EXACTA VERIFICADA] Pilarica; 2 hab, 2 baños, 80 m²"
18,2026-07-09,Fincaraiz,turn8search286,Medellin,Robledo Pilarica,1920000,2,1,60,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/191509330,6.276,-75.58614,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.5,Caribe,A,1.89,Si,Si,75.4,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.276,-75.58614","[URL EXACTA VERIFICADA] Sector Pilarica; 2 hab, 1 baño, 60 m²"
19,2026-07-09,Fincaraiz,turn8search289,Medellin,Robledo Pilarica,2000000,2,2,55,Inmobiliaria,Su Propiedad Inmobiliaria Asociados SAS,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/193836157,6.276452,-75.586153,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.52,Caribe,A,1.89,Si,Si,75.4,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.276452,-75.586153","[URL EXACTA VERIFICADA] Pilarica/Robledo; 2 hab, 2 baños, 55 m²"
20,2026-07-09,Fincaraiz,turn8search288,Medellin,Robledo Pilarica,2100000,3,1,55,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/193565816,6.275502,-75.586456,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.51,Caribe,A,1.93,Si,Si,75.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.275502,-75.586456","[URL EXACTA VERIFICADA] Robledo Pilarica; 3 hab, 1 baño, 55 m²"
21,2026-07-09,Fincaraiz,turn9search350,Medellin,Robledo Pilarica,2700000,3,2,68,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/193740497,6.276348,-75.586593,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.56,Caribe,A,1.94,Si,Si,74.9,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.276348,-75.586593","[URL EXACTA VERIFICADA] Pilarica; 3 hab, 2 baños, 68 m²"
22,2026-07-09,Fincaraiz,turn8search287,Medellin,Robledo Pilarica,1650000,2,2,68,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/192904048,6.27629,-75.586817,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.58,Caribe,A,1.96,Si,Si,74.7,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.27629,-75.586817","[URL EXACTA VERIFICADA] Pilarica; 2 hab, 2 baños, 68 m²; fuente indica sin ascensor"
23,2026-07-09,Fincaraiz,turn8search290,Medellin,Robledo Pilarica,1600000,2,2,65,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-robledo-medellin/191828483,6.275889,-75.58713,6.276,-75.5865,Sector aproximado; punto microdesplazado para evitar superposición visual,2.59,Caribe,A,2.0,Si,Si,74.4,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.275889,-75.58713","[URL EXACTA VERIFICADA] Pilarica; 2 hab, 2 baños, 65 m²"
24,2026-07-09,Ciencuadras,turn8search285,Medellin,Altamira,2550000,2,2,62,Inmobiliaria,PAYVA ASOCIADOS SAS,Ver portal,https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-altamira-medellin-3795020,6.2775,-75.58864,6.2775,-75.589,Sector aproximado; punto microdesplazado para evitar superposición visual,2.82,Caribe,A,2.16,Si,Si,72.8,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.2775,-75.58864","[URL EXACTA VERIFICADA] Altamira; 2 hab, 2 baños, 62 m²"
25,2026-07-09,Fincaraiz,turn9search339,Medellin,Altamira,2500000,3,2,70,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-altamira-medellin/193888908,6.27779,-75.589317,6.2775,-75.589,Sector aproximado; punto microdesplazado para evitar superposición visual,2.9,Caribe,A,2.23,Si,Si,72.1,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.27779,-75.589317","[URL EXACTA VERIFICADA] Altamira; 3 hab, 2 baños, 70 m²"
26,2026-07-09,Fincaraiz,turn7search224,Medellin,Belén Rosales,2250000,3,2,75,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-rosales-medellin/193848805,6.224,-75.59564,6.224,-75.596,Sector aproximado; punto microdesplazado para evitar superposición visual,5.81,Poblado,A,2.27,Si,Si,67.8,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.224,-75.59564","[URL EXACTA VERIFICADA] Código 193848805; 3 hab, 2 baños, 75 m²"
27,2026-07-09,Panorama Belén,turn7search242,Medellin,Rodeo Alto,2100000,2,2,55,Inmobiliaria,Arrendamientos Panorama Belén,Ver portal,https://panoramabelen.com/apartamento-alquiler-medellin/8567445,6.195,-75.59764,6.195,-75.598,Sector aproximado; punto microdesplazado para evitar superposición visual,8.74,Aguacatala,A,1.8,Si,Si,67.5,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.195,-75.59764","[URL EXACTA VERIFICADA] Código 8567445; 2 alcobas, 2 baños, 55 m²"
28,2026-07-09,Fincaraiz,turn7search225,Medellin,Belén Rosales,2500000,2,2,45,Inmobiliaria,VIUW INMOBILIARIO,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-rosales-medellin/193777158,6.22429,-75.596317,6.224,-75.596,Sector aproximado; punto microdesplazado para evitar superposición visual,5.83,Poblado,A,2.35,Si,Si,67.1,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.22429,-75.596317","[URL EXACTA VERIFICADA] Código 193777158; 2 hab, 2 baños, 45 m²"
29,2026-07-09,Fincaraiz,turn7search240,Medellin,Belén,2650000,4,3,103,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-medellin/192425722,6.226,-75.60064,6.226,-75.601,Sector aproximado; punto microdesplazado para evitar superposición visual,5.98,Industriales,A,2.78,Si,Si,65.7,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.226,-75.60064","[URL EXACTA VERIFICADA] Código 192425722; Belén; 4 hab, 3 baños, 103 m²"
30,2026-07-09,Fincaraiz,turn7search227,Medellin,Belén San Bernardo,2500000,4,2,100,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-san-bernardo-medellin/193811079,6.22,-75.60064,6.22,-75.601,Sector aproximado; punto microdesplazado para evitar superposición visual,6.5,Poblado,A,2.58,Si,Si,65.0,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.22,-75.60064","[URL EXACTA VERIFICADA] Código 193811079; 4 hab, 2 baños, 100 m²"
31,2026-07-09,Fincaraiz,turn7search233,Medellin,Belén San Bernardo,1800000,3,1,45,Inmobiliaria,Maxibienes S.A.S,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-san-bernardo-medellin/193729462,6.22029,-75.601317,6.22,-75.601,Sector aproximado; punto microdesplazado para evitar superposición visual,6.52,Poblado,A,2.66,Si,Si,64.9,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.22029,-75.601317","[URL EXACTA VERIFICADA] Código 193729462; 3 hab, 1 baño, 45 m²"
32,2026-07-09,Panorama Belén,turn7search243,Medellin,Belén San Bernardo,2240000,2,2,65,Inmobiliaria,Arrendamientos Panorama Belén,Ver portal,https://panoramabelen.com/apartamento-alquiler-san-bernardo-medellin/9751613,6.219502,-75.600956,6.22,-75.601,Sector aproximado; punto microdesplazado para evitar superposición visual,6.56,Poblado,A,2.6,Si,Si,64.9,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.219502,-75.600956","[URL EXACTA VERIFICADA] Código 9751613; San Bernardo; 2 alcobas, 2 baños, 65 m²"
33,2026-07-09,Fincaraiz,193786585,Medellin,Calasanz,2550000,3,2,68,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193786585,6.267631,-75.608886,6.267631,-75.608886,Coordenada exacta del aviso,2.84,Floresta,B,1.41,Si,Si,70.6,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.267631,-75.608886","[URL EXACTA] Calasanz; 3 hab, 2 baños, 68 m² [Fincaraiz] CALLE 49G B 97- 30"
34,2026-07-09,Fincaraiz,193858036,Medellin,Calasanz,2000000,2,2,51,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193858036,6.278701,-75.609528,6.278701,-75.609528,Coordenada exacta del aviso,3.62,Floresta,B,2.48,Si,Si,61.8,Baja,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.278701,-75.609528","[URL EXACTA] Calasanz; 2 hab, 2 baños, 51 m² [Fincaraiz] CARRERA 98B 49B- 360"
35,2026-07-09,Fincaraiz,10620745,Medellin,Calasanz,1900000,3,1,75,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/10620745,6.253345,-75.610285,6.253345,-75.610285,Coordenada exacta del aviso,2.7,Floresta,B,1.27,Si,Si,74.6,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.253345,-75.610285","[URL EXACTA] Calasanz; 3 hab, 1 baños, 75 m² [Fincaraiz] CALLE 43   92- 90"
36,2026-07-09,Fincaraiz,193733673,Medellin,Calasanz,2000000,2,2,50,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193733673,6.270587,-75.609757,6.270587,-75.609757,Coordenada exacta del aviso,3.09,Floresta,B,1.72,Si,Si,69.5,Baja,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.270587,-75.609757","[URL EXACTA] Calasanz; 2 hab, 2 baños, 50 m² [Fincaraiz] Calle 50B #98-65, Calazans, Medellín, Antioquia, Colombia"
37,2026-07-09,Fincaraiz,193915174,Medellin,Calasanz,2400000,3,2,55,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193915174,6.266243,-75.608886,6.266243,-75.608886,Coordenada exacta del aviso,2.77,Floresta,B,1.31,Si,Si,72.2,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.266243,-75.608886","[URL EXACTA] Calasanz; 3 hab, 2 baños, 55 m² [Fincaraiz] calle 49gb#97-30"
38,2026-07-09,Fincaraiz,193746949,Medellin,Calasanz,2500000,3,2,75,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193746949,6.269621,-75.59589,6.269621,-75.59589,Coordenada exacta del aviso,1.87,Floresta,B,1.32,Si,Si,74.4,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.269621,-75.59589","[URL EXACTA] Calasanz; 3 hab, 2 baños, 75 m² [Fincaraiz] Cl. 55 #80-54, apto 525 VILLAS DEL ESCORIAL  Medellín"
39,2026-07-09,Fincaraiz,193435351,Medellin,Laureles,2100000,2,2,92,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/193435351,6.258801,-75.598108,6.258801,-75.598108,Coordenada exacta del aviso,1.37,Floresta,B,0.21,Si,Si,86.3,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.258801,-75.598108","[URL EXACTA] Laureles; 2 hab, 2 baños, 92 m² [Fincaraiz] CL 48 80 68 AP 501"
40,2026-07-09,Fincaraiz,193609376,Medellin,Calasanz,2600000,3,2,72,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193609376,6.26396,-75.60199,6.26396,-75.60199,Coordenada exacta del aviso,1.98,Floresta,B,0.65,Si,Si,79.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.26396,-75.60199","[URL EXACTA] Calasanz; 3 hab, 2 baños, 72 m² [Fincaraiz] CALLE 49E 83A- 196"
41,2026-07-09,Fincaraiz,193888222,Medellin,Calasanz,2100000,2,2,60,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193888222,6.261636,-75.598962,6.261636,-75.598962,Coordenada exacta del aviso,1.56,Floresta,B,0.37,Si,Si,84.5,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.261636,-75.598962","[URL EXACTA] Calasanz; 2 hab, 2 baños, 60 m² [Fincaraiz] CALASANZ"
42,2026-07-09,Fincaraiz,193654539,Medellin,Calasanz,2200000,2,2,55,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193654539,6.263532,-75.600469,6.263532,-75.600469,Coordenada exacta del aviso,1.81,Floresta,B,0.56,Si,Si,81.8,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.263532,-75.600469","[URL EXACTA] Calasanz; 2 hab, 2 baños, 55 m² [Fincaraiz] Calasanz, La América, Carrera 82, Calasanz Parte Alta, La América, Medellín, Antioquia, Colombia"
43,2026-07-09,Fincaraiz,192625023,Medellin,Calasanz,2600000,3,2,,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/192625023,6.260916,-75.598985,6.260916,-75.598985,Coordenada exacta del aviso,1.54,Floresta,B,0.29,Si,Si,83.3,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.260916,-75.598985","[URL EXACTA] Calasanz; 3 hab, 2 baños, None m² [Fincaraiz] calasanz"
44,2026-07-09,Fincaraiz,193374700,Medellin,Calasanz,2350000,3,2,75,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193374700,6.252987,-75.606917,6.252987,-75.606917,Coordenada exacta del aviso,2.34,Floresta,B,0.98,Si,Si,76.3,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.252987,-75.606917","[URL EXACTA] Calasanz; 3 hab, 2 baños, 75 m² [Fincaraiz] CARRERA 90 44A- 18"
45,2026-07-09,Fincaraiz,193654394,Medellin,Calasanz,1750000,2,1,40,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193654394,6.271397,-75.603645,6.271397,-75.603645,Coordenada exacta del aviso,2.6,Floresta,B,1.49,Si,Si,73.7,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.271397,-75.603645","[URL EXACTA] Calasanz; 2 hab, 1 baños, 40 m² [Fincaraiz] CR 86 C 53 C 112 AP In 1104 punta luna 3"
46,2026-07-09,Fincaraiz,193675761,Medellin,Calasanz,2400000,3,2,70,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193675761,6.2631,-75.598829,6.2631,-75.598829,Coordenada exacta del aviso,1.62,Floresta,B,0.53,Si,Si,81.9,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.2631,-75.598829","[URL EXACTA] Calasanz; 3 hab, 2 baños, 70 m² [Fincaraiz] calle 49f # 87 - 125"
47,2026-07-09,Fincaraiz,193490817,Medellin,Laureles,2500000,2,2,70,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/193490817,6.247177,-75.599555,6.247177,-75.599555,Coordenada exacta del aviso,1.79,Floresta,B,1.26,Si,Si,75.2,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.247177,-75.599555","[URL EXACTA] Laureles; 2 hab, 2 baños, 70 m² [Fincaraiz] CL 38B 75 100 AP 302"
48,2026-07-09,Fincaraiz,193862868,Medellin,Laureles,2600000,2,2,70,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/193862868,6.24867,-75.599712,6.24867,-75.599712,Coordenada exacta del aviso,1.72,Floresta,B,1.09,Si,Si,76.3,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.24867,-75.599712","[URL EXACTA] Laureles; 2 hab, 2 baños, 70 m² [Fincaraiz] Lorena, Laureles - Estadio, Medellín, Antioquia, Colombia"
49,2026-07-09,Fincaraiz,193966588,Medellin,Los colores,2400000,3,2,56,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-los-colores-medellin/193966588,6.266001,-75.589565,6.266001,-75.589565,Coordenada exacta del aviso,1.18,Floresta,B,1.42,Si,Si,76.1,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.266001,-75.589565","[URL EXACTA] Los colores; 3 hab, 2 baños, 56 m² [Fincaraiz] CARRERA 76A #53 -215 APARTAMENTO 311 BLOQUE 2 PLAZA DE COLORES"
50,2026-07-09,Fincaraiz,193959519,Medellin,Los colores,2400000,2,2,58,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-los-colores-medellin/193959519,6.265523,-75.589606,6.265523,-75.589606,Coordenada exacta del aviso,1.13,Floresta,B,1.39,Si,Si,76.5,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.265523,-75.589606","[URL EXACTA] Los colores; 2 hab, 2 baños, 58 m² [Fincaraiz] Carrera 76 A #53 -215"
